post_id,title,category,score,num_comments,author,collected_at
47655408,show hn: i built a tiny llm to demystify how language models work,technology,659,89,armanified,2026-04-06T19:25:11.839868
47658146,france pulls last gold held in us for $15b gain,technology,316,181,teleforce,2026-04-06T19:25:12.834814
47656501,the 1987 game “the last ninja” was 40 kilobytes,sports,178,117,keepamovin,2026-04-06T19:25:16.670104
47652007,"show hn: real-time ai (audio/video in, voice out) on an m3 pro with gemma e2b",technology,162,13,karimf,2026-04-06T19:25:19.392540
47656981,"drop, formerly massdrop, ends most collaborations and rebrands under corsair",technology,70,22,stevebmark,2026-04-06T19:25:20.504574
47637377,löve: 2d game framework for lua,sports,345,169,cl3misch,2026-04-06T19:25:21.464214
47651540,running gemma 4 locally with lm studio's new headless cli and claude code,technology,320,77,vbtechguy,2026-04-06T19:25:23.409080
47655392,show hn: i made a youtube search form with advanced filters,entertainment,266,163,nevernothing,2026-04-06T19:25:24.344190
47655367,"show hn: gemma gem – ai model embedded in a browser – no api keys, no cloud",technology,110,17,ikessler,2026-04-06T19:25:27.542273
47656303,case study: recovery of a corrupted 12 tb multi-device pool,science,93,42,salt4034,2026-04-06T19:25:29.785334
47652322,music for programming,entertainment,249,110,merusame,2026-04-06T19:25:31.065239
47655268,"show hn: modo – i built an open-source alternative to kiro, cursor, and windsurf",entertainment,74,16,mohshomis,2026-04-06T19:25:34.425281
47655466,employers use your personal data to figure out the lowest salary you'll accept,technology,312,175,thisislife2,2026-04-06T19:25:36.662827
47650312,a tail-call interpreter in (nightly) rust,technology,181,42,g0xA52A2A,2026-04-06T19:25:37.727620
47648828,"eight years of wanting, three months of building with ai",technology,842,263,brilee,2026-04-06T19:25:38.836457
47650502,computational physics (2nd edition) (2025),science,161,20,teleforce,2026-04-06T19:25:40.022637
47649742,nanocode: the best claude code that $200 can buy in pure jax on tpus,technology,193,26,desideratum,2026-04-06T19:25:44.822242
47656659,media scraper gallery-dl is moving to codeberg after receiving a dmca notice,technology,177,51,MoltenMonster,2026-04-06T19:25:45.948171
47656335,does coding with llms mean more microservices?,technology,49,49,jer0me,2026-04-06T19:25:49.031011
47647788,the threat is comfortable drift toward not understanding what you're doing,worldnews,894,586,zaikunzhang,2026-04-06T19:25:54.435725
47640728,show hn: a game where you build a gpu,technology,924,180,Jaso1024,2026-04-06T19:25:56.591024
47658388,nimby rails,technology,27,3,altilunium,2026-04-06T19:26:03.730199
47652549,iran's irgc publishes satellite imagery of openai's $30b stargate datacenter,technology,57,29,alvivanco,2026-04-06T19:26:05.944512
47640380,apple approves driver that lets nvidia egpus work with arm macs,technology,512,231,naves,2026-04-06T19:26:10.584018
47655058,openai's fall from grace as investors race to anthropic,technology,177,119,1vuio0pswjnm7,2026-04-06T19:26:11.703334
47651479,from birds to brains: my path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06T19:26:12.990793
47646504,show hn: osintradar – curated directory for osint tools,entertainment,73,9,lexalizer,2026-04-06T19:26:14.625785
